,mean,std
Activity_acc,0.6709607064723968,0.03472234127735099
org:resource_acc,0.1466666653752327,0.020783101108686523
impact_acc,1.0,0.0
lifecycle:transition_acc,0.6962882161140442,0.024170258321150197
org:group_acc,0.9574561476707458,0.010450911498905794
org:role_acc,0.7184584081172943,0.02012105149464242
organization country_acc,0.961790406703949,0.01128680971459122
organization involved_acc,0.375,0.05366026069021443
product_acc,0.3689956396818161,0.024465410746443775
resource country_acc,0.8336244702339173,0.019846448399509203
time:timestamp_mae,0.017490368522703647,0.006244253837799527
AVG_total_loss,18.437436142354272,0.5137457145317942
MAE_time:timestamp,0.015805644635111093,0.005284337585294747
