,mean,std
Activity_acc,0.5410256564617157,0.012026706359632577
org:resource_acc,0.03789173774421215,0.013633602400916885
concept:name_acc,0.7207547068595886,0.02201532633779324
lifecycle:transition_acc,0.6518616795539856,0.007774161975904261
org:group_acc,0.700000011920929,0.05261738145657534
org:role_acc,0.47721824049949646,0.015039877017858942
organization country_acc,0.761599987745285,0.014453673779918252
organization involved_acc,0.09919786229729652,0.03634462646670218
product_acc,0.23839999437332154,0.030331821303514105
resource country_acc,0.6966751873493194,0.03982622401097569
time:timestamp_mae,0.02642923444509506,0.0041920765570763845
AVG_total_loss,25.563294310867786,0.48308146530990453
MAE_time:timestamp,0.029414043202996253,0.004485241674317713
