,mean,std
Activity_acc,0.7384615659713745,0.012035254084438994
org:resource_acc,0.05577395409345627,0.02065603729646839
concept:name_acc,0.7173077225685119,0.03175342326518879
lifecycle:transition_acc,0.7425481081008911,0.0007601657988702699
org:group_acc,0.7524038791656494,0.07723129233028632
org:role_acc,0.5471491277217865,0.012587125588734071
organization country_acc,0.7954327464103699,0.0007601657988702699
organization involved_acc,0.11262136027216911,0.04568440040458103
product_acc,0.25528847277164457,0.035270978333199365
resource country_acc,0.7439903974533081,0.01015132921243256
time:timestamp_mae,0.025447120424360037,0.004207967334418786
AVG_total_loss,23.70398167585954,0.4919427581362948
MAE_time:timestamp,0.02818126268684864,0.003744554976230196
