,mean,std
Activity_acc,0.5292899250984192,0.0009355712767846445
org:resource_acc,0.09066264890134335,0.033161420873918525
concept:name_acc,0.5470414459705353,0.020707725719560373
lifecycle:transition_acc,0.5295857787132263,0.0
org:group_acc,0.9340236723423004,0.01150511239912307
org:role_acc,0.7295336604118348,0.020515633887811593
organization country_acc,0.9733728170394897,0.0
organization involved_acc,0.16053412333130837,0.05837398437090971
product_acc,0.3597633183002472,0.04931361033757025
resource country_acc,0.8325443923473358,0.00815624910339145
time:timestamp_mae,0.03227522913366556,0.0038910290040011504
AVG_total_loss,20.549294703267513,0.6859524508348015
MAE_time:timestamp,0.03079714309424162,0.0039038033088623584
