,mean,std
Activity_acc,0.6373368203639984,0.024351924416877467
org:resource_acc,0.10851648598909377,0.015282344676008908
concept:name_acc,0.7456919193267822,0.011818439091208608
lifecycle:transition_acc,0.6456919193267823,0.020375584095573735
org:group_acc,0.8642297863960267,0.03422037150735544
org:role_acc,0.6556355118751526,0.02959145791428979
organization country_acc,0.9135770380496979,0.0132820405184861
organization involved_acc,0.2793103396892548,0.04048026890838581
product_acc,0.33342037796974183,0.029049724869375255
resource country_acc,0.8117493629455567,0.020831447639830764
time:timestamp_mae,0.020145477401092647,0.00806155044743391
AVG_total_loss,21.153193205641582,0.22532858537141426
MAE_time:timestamp,0.018436348438262938,0.008442376472528577
