,mean,std
Activity_acc,0.7015384912490845,0.017566121048053697
org:resource_acc,0.09686609655618668,0.017251568214370332
impact_acc,0.9064599692821502,0.02563223971569862
concept:name_acc,0.8072776079177857,0.027051325265322675
org:group_acc,0.8676630616188049,0.029713735049818623
org:role_acc,0.5805755436420441,0.0205499456598992
organization country_acc,0.891733318567276,0.012329625794562647
organization involved_acc,0.2561497375369072,0.03685143367094165
product_acc,0.30426666140556335,0.03420663324198831
resource country_acc,0.7618925869464874,0.020511817627960314
time:timestamp_mae,0.02163468417711556,0.006784327472059411
AVG_total_loss,20.98727400866337,0.6517933487979822
MAE_time:timestamp,0.01837005978450179,0.006941776309532706
