,mean,std
Activity_acc,0.7019231021404266,0.00809254159240959
org:resource_acc,0.16142505705356597,0.021358498397444345
impact_acc,1.0,0.0
concept:name_acc,0.7365384936332703,0.005800303812952818
org:group_acc,0.9480769574642182,0.010880928996791517
org:role_acc,0.7243421077728271,0.027234806126246555
organization country_acc,0.9668269574642181,0.005974779357251769
organization involved_acc,0.37111651301383974,0.04306229199173076
product_acc,0.3776442468166351,0.03281247936631103
resource country_acc,0.8605769515037537,0.015945316407374868
time:timestamp_mae,0.02104416163638234,0.007173352115563672
AVG_total_loss,17.603662283800077,0.532748731903715
MAE_time:timestamp,0.01740297758951783,0.006960612280930816
