,mean,std
Activity_acc,0.5286982178688049,0.0014291087312973717
org:resource_acc,0.10090361088514328,0.03510468472476383
impact_acc,1.0,0.0
concept:name_acc,0.5464497029781341,0.022961583836812825
org:group_acc,0.9476331353187561,0.010534275175197564
org:role_acc,0.7272020578384399,0.026785605574100257
organization country_acc,0.9733728170394897,0.0
organization involved_acc,0.2008902058005333,0.06260510385982576
product_acc,0.36804733946919443,0.12577116045138226
resource country_acc,0.8334319710731506,0.016147682451274147
time:timestamp_mae,0.02631204230710864,0.004879534429926067
AVG_total_loss,19.133897785935552,0.8152572433488807
MAE_time:timestamp,0.024932991713285446,0.004831369817551895
