,mean,std
Activity_acc,0.6446475386619568,0.015197038152698173
org:resource_acc,0.11730769500136376,0.016384011849711725
impact_acc,0.9469973921775818,0.013818672301751739
concept:name_acc,0.7537859082221985,0.01766775137389097
org:group_acc,0.8741514444351196,0.02500719270668439
org:role_acc,0.6477218389511108,0.023041828162822728
organization country_acc,0.9099216938018799,0.015483409058153463
organization involved_acc,0.28196286261081693,0.0422751377266431
product_acc,0.3289817273616791,0.03140403497554587
resource country_acc,0.8099216818809509,0.017441217338335112
time:timestamp_mae,0.022484045149758457,0.008723814305713312
AVG_total_loss,20.12161449198611,0.3298673399567938
MAE_time:timestamp,0.019194102380424738,0.008022415339970243
