,mean,std
Activity_acc,0.6938864707946777,0.018492483480861067
org:resource_acc,0.14390804693102838,0.025922591711263734
impact_acc,0.9993449807167053,0.0020713528465422623
concept:name_acc,0.789301335811615,0.027217262499846837
org:group_acc,0.9541666746139527,0.009831801060572482
org:role_acc,0.7111561715602874,0.029303930604858742
organization country_acc,0.9657205462455749,0.007281661764220839
organization involved_acc,0.3517699122428894,0.0494705303839236
product_acc,0.37423581480979917,0.033164142157483076
resource country_acc,0.8264192342758179,0.01510079672262627
time:timestamp_mae,0.019824408111162484,0.007008895762737443
AVG_total_loss,17.795467210398055,0.4899821126233912
MAE_time:timestamp,0.01622161059640348,0.006999534402982663
