,mean,std
Activity_acc,0.76461541056633,0.019332120378908323
org:resource_acc,0.09088319092988968,0.024598040964116184
impact_acc,0.9012920081615448,0.021612254832498116
concept:name_acc,0.8924528062343597,0.019455609185445186
lifecycle:transition_acc,0.8103723168373108,0.022288649862399722
org:role_acc,0.6059952139854431,0.025655625065446143
organization country_acc,0.8850666522979737,0.009854247290488477
organization involved_acc,0.2641711294651031,0.04960435613818759
product_acc,0.31626666337251663,0.05568447417720014
resource country_acc,0.7572889983654022,0.024955551603865863
time:timestamp_mae,0.022452420834451915,0.00732192345149258
AVG_total_loss,20.45477747330442,0.6086815618351479
MAE_time:timestamp,0.02087501119822264,0.006469754833986849
