,mean,std
Activity_acc,0.7382211804389953,0.012016568011213247
org:resource_acc,0.06142505928874016,0.01646171160006724
impact_acc,0.8125000596046448,0.0
concept:name_acc,0.7132211863994599,0.04371286745111298
lifecycle:transition_acc,0.7310096442699432,0.01897702990693519
org:role_acc,0.5537280857563018,0.00931838625269774
organization country_acc,0.7853365838527679,0.03440945883957094
organization involved_acc,0.1500000037252903,0.04435546639200224
product_acc,0.27259616255760194,0.019958200498102534
resource country_acc,0.745432722568512,0.010717424873157397
time:timestamp_mae,0.02423506658524275,0.00936393008817441
AVG_total_loss,22.93596000801772,0.3318125793780225
MAE_time:timestamp,0.026818388141691685,0.009593546172028247
