,mean,std
Activity_acc,0.5292899250984192,0.0009355712767846446
org:resource_acc,0.10090361014008523,0.026875016269160067
impact_acc,1.0,0.0
concept:name_acc,0.5505917251110077,0.021536539160130746
lifecycle:transition_acc,0.5292899250984192,0.0009355712767846445
org:role_acc,0.741191691160202,0.01750489316046624
organization country_acc,0.9739645302295685,0.0018711614022129505
organization involved_acc,0.20890207290649415,0.08050486322225765
product_acc,0.38491124510765073,0.025809266357367865
resource country_acc,0.831656813621521,0.016528686214534086
time:timestamp_mae,0.030422997567802666,0.008998880816492383
AVG_total_loss,19.772624529805036,0.5994149888538219
MAE_time:timestamp,0.02902069576084614,0.009144018243481303
