,mean,std
Activity_acc,0.6013054788112641,0.017408613290788136
org:resource_acc,0.043131869100034234,0.008692401000789706
impact_acc,0.7955613553524017,0.007789261193490839
concept:name_acc,0.6441253364086151,0.016469578523631505
lifecycle:transition_acc,0.5838120222091675,0.018876158301069743
org:role_acc,0.5112709909677505,0.010592651650514808
organization country_acc,0.7785900831222534,0.050340440789492756
organization involved_acc,0.11193633638322353,0.044045674813097395
product_acc,0.2242819845676422,0.02168656409021643
resource country_acc,0.7292428374290466,0.01740862511090385
time:timestamp_mae,0.02632711920887232,0.008443561561818087
AVG_total_loss,23.872016973234714,0.417375930800058
MAE_time:timestamp,0.027534232847392558,0.009188998846046218
