,mean,std
Activity_acc,0.5152838468551636,0.013923675728844327
org:resource_acc,0.08068965561687946,0.01659317974855579
impact_acc,1.0,0.0
concept:name_acc,0.5528384387493134,0.005983932549384094
lifecycle:transition_acc,0.495633190870285,0.03187406846075024
org:role_acc,0.7101419687271118,0.011844876720577454
organization country_acc,0.9722707569599152,0.002071371695185924
organization involved_acc,0.200221236795187,0.07483161391833762
product_acc,0.3862445503473282,0.03578019281114186
resource country_acc,0.7908297061920166,0.018348701986794155
time:timestamp_mae,0.03375901579856873,0.010423777186045494
AVG_total_loss,20.661882627708838,0.5938765871874642
MAE_time:timestamp,0.03430851548910141,0.010692280093131468
