,mean,std
Activity_acc,0.761794900894165,0.014426478343197243
impact_acc,0.897157633304596,0.02041181093014042
concept:name_acc,0.8843665540218353,0.02805336173489469
lifecycle:transition_acc,0.8071808218955994,0.02329553534953062
org:group_acc,0.8711956679821015,0.030534910356582682
org:role_acc,0.5697841823101044,0.03665222875250551
organization country_acc,0.8898666501045227,0.013306640900005032
organization involved_acc,0.2304812863469124,0.031782083773087645
product_acc,0.30186666250228883,0.04756676966930261
resource country_acc,0.7562659800052642,0.03467231829151376
time:timestamp_mae,0.022490934142842887,0.006923675373757687
AVG_total_loss,15.105859749624505,0.6454560284209557
MAE_time:timestamp,0.019396519660949706,0.006712710273230503
