,mean,std
Activity_acc,0.7310096442699432,0.01897702990693519
impact_acc,0.8125000596046448,0.0
concept:name_acc,0.7322115778923035,0.03807904188071281
lifecycle:transition_acc,0.7336538732051849,0.01833518804308134
org:group_acc,0.7576923310756684,0.07999830101191067
org:role_acc,0.551096498966217,0.011652426731988089
organization country_acc,0.7848558187484741,0.034207347857300174
organization involved_acc,0.16893203929066658,0.040520978006304394
product_acc,0.27572116553783416,0.0378905591518334
resource country_acc,0.7413461804389954,0.013560386692213003
time:timestamp_mae,0.020534895407035948,0.004570046675022864
AVG_total_loss,17.543182750092818,0.415659211243535
MAE_time:timestamp,0.02263126876205206,0.004880971722906943
