,mean,std
Activity_acc,0.5289940714836121,0.0012474283690461928
impact_acc,1.0,0.0
concept:name_acc,0.5547337412834168,0.015357411711471036
lifecycle:transition_acc,0.5278106331825256,0.0056135030552825135
org:group_acc,0.9431952774524689,0.014277680509450531
org:role_acc,0.737046617269516,0.020770320712392182
organization country_acc,0.9733728170394897,0.0
organization involved_acc,0.24777448326349258,0.06853179221402925
product_acc,0.3917159825563431,0.05056008698446385
resource country_acc,0.8278106689453125,0.017630527750476403
time:timestamp_mae,0.02517081070691347,0.004644053378306239
AVG_total_loss,14.352640676381998,0.6575715301464212
MAE_time:timestamp,0.02382580041885376,0.004620805037979855
