,mean,std
Activity_acc,0.5971279382705689,0.015908097371607477
impact_acc,0.8,0.009389804217399114
concept:name_acc,0.6511749505996705,0.013772008216675301
lifecycle:transition_acc,0.595039165019989,0.01725126320885839
org:group_acc,0.7420365571975708,0.06503349337808702
org:role_acc,0.5083932936191559,0.022439124216949116
organization country_acc,0.7845953166484833,0.048570675007002774
organization involved_acc,0.13262599110603332,0.03794741414218705
product_acc,0.2355091392993927,0.027953460432905097
resource country_acc,0.7305483162403107,0.012295901025123271
time:timestamp_mae,0.02189164059236646,0.004522432882094155
AVG_total_loss,18.814746131468564,0.3549907271222892
MAE_time:timestamp,0.02286248914897442,0.004964843184442331
