,mean,std
Activity_acc,0.5126637667417526,0.014621400466013304
impact_acc,1.0,0.0
concept:name_acc,0.5539301455020904,0.0055475522832391716
lifecycle:transition_acc,0.5148471653461456,0.013647020489681014
org:group_acc,0.9243421018123626,0.011978053798405709
org:role_acc,0.7109533309936523,0.018865195914566053
organization country_acc,0.971615731716156,0.0
organization involved_acc,0.22743362486362456,0.056854531889198485
product_acc,0.39148472249507904,0.055780696460301885
resource country_acc,0.7796943366527558,0.01726748547961551
time:timestamp_mae,0.02887159325182438,0.005223040848020527
AVG_total_loss,15.028561191633344,0.6361517387264859
MAE_time:timestamp,0.029138985462486743,0.005424169636749172
