,mean,std
Activity_acc,0.7661538779735565,0.02580574091014539
org:resource_acc,0.09259259179234505,0.03051523092032006
impact_acc,0.9090439438819885,0.014037249613350417
concept:name_acc,0.895148229598999,0.019825521344798255
lifecycle:transition_acc,0.8178191184997559,0.019188700328527875
org:group_acc,0.8532608866691589,0.035244714984679106
organization country_acc,0.8975999891757965,0.01173872333296491
organization involved_acc,0.22165775895118714,0.03583841160290093
product_acc,0.2858666628599167,0.048553190737939685
resource country_acc,0.7744245529174805,0.014706817157254304
time:timestamp_mae,0.027368750213645397,0.016175355685430857
AVG_total_loss,20.104287317185662,0.6729073518516081
MAE_time:timestamp,0.024598941206932068,0.013728988886211503
