,mean,std
Activity_acc,0.6927884876728058,0.01857869114188854
org:resource_acc,0.15184274837374687,0.03435510726028976
impact_acc,1.0,0.0
concept:name_acc,0.7430288851261139,0.009777605995055012
lifecycle:transition_acc,0.6932692587375641,0.01639010033214446
org:group_acc,0.9492788910865784,0.006253079488695027
organization country_acc,0.9649038910865784,0.008644949314723068
organization involved_acc,0.3281553417444229,0.04655866523269519
product_acc,0.35961540043354034,0.05371817907470779
resource country_acc,0.8709134995937348,0.010633226268080685
time:timestamp_mae,0.025219901208765806,0.013943579609191993
AVG_total_loss,17.80424882111838,0.622014834920306
MAE_time:timestamp,0.02206677235662937,0.011876157925994646
