,mean,std
Activity_acc,0.6834319651126861,0.024831718025709465
org:resource_acc,0.14126505330204964,0.029390412705847815
impact_acc,1.0,0.0
concept:name_acc,0.8417159914970398,0.03356680775200015
lifecycle:transition_acc,0.6914201319217682,0.022706016525891385
org:group_acc,0.9446745634078979,0.008935802816440009
organization country_acc,0.9704142272472381,0.005917174948593213
organization involved_acc,0.3222551912069321,0.050844989188578056
product_acc,0.3633136123418808,0.05639094625823995
resource country_acc,0.8615384757518768,0.014071834183267443
time:timestamp_mae,0.022847165027633308,0.011061092597020821
AVG_total_loss,18.497100738924928,0.577915270717898
MAE_time:timestamp,0.02122346996329725,0.010079270387579588
