,mean,std
Activity_acc,0.5148471683263779,0.014621394828885923
org:resource_acc,0.07540229819715023,0.02749666143371584
impact_acc,1.0,0.0
concept:name_acc,0.5537118077278137,0.0066065799872696085
lifecycle:transition_acc,0.5146288394927978,0.014738668378957633
org:group_acc,0.9201754331588745,0.01184121180872163
organization country_acc,0.9703056871891022,0.004142724541728186
organization involved_acc,0.18761061728000641,0.0761324826358059
product_acc,0.3692139804363251,0.061000497627430844
resource country_acc,0.7788209736347198,0.02045758041844586
time:timestamp_mae,0.02971332911401987,0.004870214140058314
AVG_total_loss,20.259894685726614,0.8139024077153316
MAE_time:timestamp,0.030110755749046803,0.005150336521147654
