,mean,std
Activity_acc,0.546153849363327,0.012385794094589706
org:resource_acc,0.04586894549429417,0.014800807874423005
impact_acc,0.7906976938247681,0.00982063711263693
concept:name_acc,0.6948786914348603,0.023284126447231046
lifecycle:transition_acc,0.6593084871768952,0.008071753665382687
org:group_acc,0.7157608807086945,0.061450172248537875
org:role_acc,0.4884892165660858,0.010845994074212668
organization involved_acc,0.11657754220068454,0.048966103603394436
product_acc,0.2506666615605354,0.040108492273813225
resource country_acc,0.6920716106891632,0.04178539558950982
time:timestamp_mae,0.023969534318894148,0.008781806460635177
AVG_total_loss,24.922751291375608,0.4364937213252292
MAE_time:timestamp,0.026258506905287506,0.009128440792782258
