,mean,std
Activity_acc,0.6990384936332703,0.012246779675901235
org:resource_acc,0.16044225841760634,0.03022656706709938
impact_acc,1.0,0.0
concept:name_acc,0.7430288672447205,0.009777604855314282
lifecycle:transition_acc,0.700961571931839,0.009561814444632603
org:group_acc,0.9466346561908722,0.007584730232134324
org:role_acc,0.7368421137332917,0.02842430069028605
organization involved_acc,0.37281553745269774,0.031234381025978787
product_acc,0.4079327046871185,0.04728311136345526
resource country_acc,0.8649038732051849,0.010373440167053615
time:timestamp_mae,0.017836065217852592,0.006218278856679705
AVG_total_loss,17.863243583438454,0.6448797368597555
MAE_time:timestamp,0.015411950927227736,0.005293938108641916
