,mean,std
Activity_acc,0.6881656885147095,0.018928756773359597
org:resource_acc,0.1632530063390732,0.02856773933121615
impact_acc,1.0,0.0
concept:name_acc,0.8417159855365753,0.017152401099544735
lifecycle:transition_acc,0.6976331472396851,0.016192800882315974
org:group_acc,0.9387574017047882,0.011672968982693273
org:role_acc,0.7373056828975677,0.023306467948543245
organization involved_acc,0.3732937604188919,0.026236852573361655
product_acc,0.41183432638645173,0.042298380943583895
resource country_acc,0.848816591501236,0.014185425877285274
time:timestamp_mae,0.016132142557762564,0.005789190101469075
AVG_total_loss,18.43448419577326,0.8093914565964854
MAE_time:timestamp,0.014027423225343227,0.004534563523917384
