,mean,std
Activity_acc,0.6365535259246826,0.013187614108554783
org:resource_acc,0.11620879396796227,0.019211137682759713
impact_acc,0.9503916561603546,0.012308210200712762
concept:name_acc,0.7483028829097748,0.011360956810444585
lifecycle:transition_acc,0.6446475386619568,0.00608604045327466
org:group_acc,0.8660574615001678,0.026684983760173035
org:role_acc,0.6522781908512115,0.021149084212109245
organization involved_acc,0.29363394230604173,0.034061910465957704
product_acc,0.35013055205345156,0.039720458691082504
resource country_acc,0.8067885279655457,0.033572315915531434
time:timestamp_mae,0.018138246587477626,0.007946396244393613
AVG_total_loss,20.470746112591588,0.5431104718253379
MAE_time:timestamp,0.01629184642806649,0.006667425071804204
