,mean,std
Activity_acc,0.5172489225864411,0.013118613992348545
org:resource_acc,0.09494252912700177,0.028072555405067725
impact_acc,1.0,0.0
concept:name_acc,0.5576419293880462,0.004142724541728186
lifecycle:transition_acc,0.5126637756824494,0.01251311575377716
org:group_acc,0.9228070199489593,0.0141669654688669
org:role_acc,0.7105476558208466,0.030132297205159704
organization involved_acc,0.1944690253585577,0.08218959409514362
product_acc,0.3781659439206123,0.060093714087944616
resource country_acc,0.7879912674427032,0.014931469308137945
time:timestamp_mae,0.03052296079695225,0.009099948860401559
AVG_total_loss,20.896248958120122,0.6787491021772598
MAE_time:timestamp,0.0307020990177989,0.00915276799451602
