,mean,std
Activity_acc,0.5351282179355621,0.009366671749313157
org:resource_acc,0.040455840155482294,0.009089068232679298
impact_acc,0.7909560918807983,0.009626074234132129
concept:name_acc,0.7134770631790162,0.01845917904490822
lifecycle:transition_acc,0.6518616735935211,0.008452261325089338
org:group_acc,0.6907608926296234,0.04730655357997959
org:role_acc,0.4880096048116684,0.014532110405650896
organization country_acc,0.7618666529655457,0.02280306810347214
product_acc,0.24853333085775375,0.03137161069128063
resource country_acc,0.673913037776947,0.050453471527649514
time:timestamp_mae,0.021511091385036707,0.004549672725923728
AVG_total_loss,20.969603774044664,0.2084935193808648
MAE_time:timestamp,0.02371820844709873,0.004842330438317662
