,mean,std
Activity_acc,0.681250023841858,0.01374846959147195
org:resource_acc,0.15282554924488068,0.036987656329617015
impact_acc,0.9927884638309479,0.02280487972288979
concept:name_acc,0.7427884817123414,0.004939433801423005
lifecycle:transition_acc,0.6949519455432892,0.011357310275760337
org:group_acc,0.9514423549175263,0.005866339810089986
org:role_acc,0.7539473712444306,0.02085064641640037
organization country_acc,0.969711571931839,0.00427015821331715
product_acc,0.4223557889461517,0.04686027669375227
resource country_acc,0.8711538791656495,0.017193056362366167
time:timestamp_mae,0.021581176202744246,0.006888761793339116
AVG_total_loss,14.310840432043188,0.5025314055395887
MAE_time:timestamp,0.018367658648639918,0.0054201872062380075
