,mean,std
Activity_acc,0.5289940714836121,0.0012474283690461928
org:resource_acc,0.09337348937988281,0.02245047864412559
impact_acc,1.0,0.0
concept:name_acc,0.5511834442615509,0.01829382859775996
lifecycle:transition_acc,0.5292899250984192,0.0009355712767846445
org:group_acc,0.9307692408561706,0.011347650774354647
org:role_acc,0.7435232996940613,0.0135993328984046
organization country_acc,0.9733728170394897,0.0
product_acc,0.3748520761728287,0.04619449957825049
resource country_acc,0.8195266425609589,0.018291157095934093
time:timestamp_mae,0.02630893038585782,0.004503373278144108
AVG_total_loss,16.039055304182693,0.36039279692922055
MAE_time:timestamp,0.02498365957289934,0.004439569416662058
