,mean,std
Activity_acc,0.6221932232379913,0.022394524484694825
org:resource_acc,0.1170329712331295,0.024131385239504553
impact_acc,0.9438642382621765,0.021149000983673987
concept:name_acc,0.7459530234336853,0.010078461112148392
lifecycle:transition_acc,0.6399478018283844,0.01587950279862845
org:group_acc,0.8882506608963012,0.017527862403002723
org:role_acc,0.6774580538272857,0.020667759218925535
organization country_acc,0.910182774066925,0.021467152012854138
product_acc,0.3657963514328003,0.03602019015894003
resource country_acc,0.8031331777572632,0.03398047531188839
time:timestamp_mae,0.020860502729192376,0.005555612086118027
AVG_total_loss,16.717032356420532,0.394561104151073
MAE_time:timestamp,0.018466701451689004,0.005059397497775699
