,mean,std
Activity_acc,0.5024017542600632,0.009788873085175367
org:resource_acc,0.08344827592372894,0.011522315363531082
impact_acc,1.0,0.0
concept:name_acc,0.5515284061431884,0.004957612673989628
lifecycle:transition_acc,0.5000000089406967,0.005042370904972818
org:group_acc,0.9135964930057525,0.010950279329255986
org:role_acc,0.7123732089996337,0.016638912358674735
organization country_acc,0.9705240309238434,0.002358342025455034
product_acc,0.3681222766637802,0.0483449078323562
resource country_acc,0.7786026358604431,0.02212805466794131
time:timestamp_mae,0.028878297191113234,0.005125408305785055
AVG_total_loss,16.810878557665273,0.35662938646666253
MAE_time:timestamp,0.029035954363644124,0.005174742936595627
