,mean,std
Activity_acc,0.5356410324573517,0.014477039562999484
org:resource_acc,0.037321937084197995,0.014367940754675556
impact_acc,0.7901808977127075,0.00748908716083532
concept:name_acc,0.7353099584579468,0.025022097463854996
lifecycle:transition_acc,0.6593084871768952,0.020770045991798707
org:group_acc,0.7225543618202209,0.05544558377445756
org:role_acc,0.48321344554424284,0.009935888601428728
organization country_acc,0.7631999909877777,0.02384475788133411
organization involved_acc,0.10748663172125816,0.030034458887142172
resource country_acc,0.7038363158702851,0.017710986415595494
time:timestamp_mae,0.020738284336403012,0.0060535975144976484
AVG_total_loss,20.912881313310937,0.2567852837745805
MAE_time:timestamp,0.02274683238938451,0.00642455573577682
