,mean,std
Activity_acc,0.7355769515037537,0.015203265714355634
org:resource_acc,0.049877149797976014,0.017907860840989134
impact_acc,0.8125000596046448,0.0
concept:name_acc,0.7045673370361328,0.031960015890724225
lifecycle:transition_acc,0.7341346502304077,0.017635479992629308
org:group_acc,0.7680288672447204,0.07686672333248068
org:role_acc,0.5541666686534882,0.007808312550539868
organization country_acc,0.795673131942749,0.0
organization involved_acc,0.12548543959856034,0.042751073812754725
resource country_acc,0.7411058008670807,0.01297235679136927
time:timestamp_mae,0.020372845977544785,0.0060401378992208385
AVG_total_loss,19.314502608031034,0.2269007089674064
MAE_time:timestamp,0.021914254408329725,0.006580486494635487
