,mean,std
Activity_acc,0.5292899250984192,0.0009355712767846446
org:resource_acc,0.08012047838419675,0.03339617489016756
impact_acc,1.0,0.0
concept:name_acc,0.5366864025592804,0.021298131089011834
lifecycle:transition_acc,0.5295857787132263,0.0
org:group_acc,0.935502964258194,0.015642902390062066
org:role_acc,0.733937793970108,0.012869627160587567
organization country_acc,0.9733728170394897,0.0
organization involved_acc,0.18545993752777576,0.07171288064620765
resource country_acc,0.8230769395828247,0.021954702806799162
time:timestamp_mae,0.02465425212867558,0.006516476632969462
AVG_total_loss,16.5809924332425,0.4234666140722825
MAE_time:timestamp,0.023278082348406316,0.006171758042130424
