,mean,std
Activity_acc,0.6373368322849273,0.01196179487262146
org:resource_acc,0.11318681761622429,0.02815990075211554
impact_acc,0.9503916501998901,0.013594872257224798
concept:name_acc,0.7519582331180572,0.009533901890478804
lifecycle:transition_acc,0.6509138584136963,0.012494506031072956
org:group_acc,0.8631853938102723,0.032006088519290765
org:role_acc,0.6707434177398681,0.023579104441765714
organization country_acc,0.9093994975090027,0.01834088503210542
organization involved_acc,0.29310344606637956,0.03643931317615743
resource country_acc,0.8135770380496978,0.011360952853157023
time:timestamp_mae,0.020501320622861384,0.006984432866403217
AVG_total_loss,16.250554249249397,0.392399539397322
MAE_time:timestamp,0.018521805573254824,0.0061373816224590885
