,mean,std
Activity_acc,0.5045851558446884,0.011059238153355716
org:resource_acc,0.06735632047057152,0.02536965541657788
impact_acc,1.0,0.0
concept:name_acc,0.551091730594635,0.004739104797899002
lifecycle:transition_acc,0.5006550252437592,0.007425728569269672
org:group_acc,0.9199561357498169,0.013917721442119937
org:role_acc,0.7091277718544007,0.01852159229087748
organization country_acc,0.971615731716156,0.0
organization involved_acc,0.16924778521060943,0.0626127456375558
resource country_acc,0.7757641971111298,0.019202129395140318
time:timestamp_mae,0.027877563890069724,0.0075025663742722725
AVG_total_loss,17.436817715782674,0.3617126667980356
MAE_time:timestamp,0.027785604074597358,0.007755304080484074
