,mean,std
Activity_acc,0.545128220319748,0.011222324266354637
org:resource_acc,0.04387464355677366,0.012323744807707595
impact_acc,0.7958656549453735,0.010191356768486284
concept:name_acc,0.7134770810604095,0.028356737836296848
lifecycle:transition_acc,0.6574467897415162,0.008484737799496853
org:group_acc,0.723641312122345,0.06158154866828257
org:role_acc,0.49376500248908994,0.005356311866722671
organization country_acc,0.7661333203315734,0.01821896849946174
organization involved_acc,0.11577540338039398,0.03640140907131284
product_acc,0.2613333284854889,0.0332591745234235
time:timestamp_mae,0.024748593755066394,0.006392346008452345
AVG_total_loss,24.329224384017287,0.517978544388021
MAE_time:timestamp,0.027126927487552167,0.0070239385976442635
