,mean,std
Activity_acc,0.693750011920929,0.015379612639868232
org:resource_acc,0.14103193581104279,0.028162195834551013
impact_acc,1.0,0.0
concept:name_acc,0.7367788791656494,0.010523981122630399
lifecycle:transition_acc,0.7019230961799622,0.008012813329716116
org:group_acc,0.9447115778923034,0.014861571233025702
org:role_acc,0.7307017624378205,0.03887075032603217
organization country_acc,0.96129812002182,0.007026658853742765
organization involved_acc,0.36334951817989347,0.05583169580824329
product_acc,0.38461540043354037,0.03463170910405155
time:timestamp_mae,0.02658415324985981,0.00976120606067236
AVG_total_loss,18.168761173496023,0.6412550786180702
MAE_time:timestamp,0.022544188890606165,0.009144910362656234
