,mean,std
Activity_acc,0.6786982357501984,0.029028276396855384
org:resource_acc,0.13373493477702142,0.022727160320592348
impact_acc,1.0,0.0
concept:name_acc,0.8319526672363281,0.027216070033262634
lifecycle:transition_acc,0.6928994059562683,0.025443021733429664
org:group_acc,0.9372781276702881,0.013507608348119496
org:role_acc,0.7383419454097748,0.03760196702583963
organization country_acc,0.9704142272472381,0.004625664438165448
organization involved_acc,0.35608308017253876,0.03815490078940258
product_acc,0.3943787008523941,0.03192739185156042
time:timestamp_mae,0.024768063658848406,0.010162979872632379
AVG_total_loss,18.59860997418873,0.599847488401874
MAE_time:timestamp,0.021731818839907647,0.00927524117135801
