,mean,std
Activity_acc,0.6355091571807862,0.01939080825558726
org:resource_acc,0.10412088185548782,0.02141565375496256
impact_acc,0.9535248160362244,0.012046966976605903
concept:name_acc,0.7381201207637786,0.015955635046522774
lifecycle:transition_acc,0.6375979244709015,0.02051450844194802
org:group_acc,0.8574412584304809,0.034423412145781714
org:role_acc,0.6549160778522491,0.04262098118560756
organization country_acc,0.9018276989459991,0.019312516605259348
organization involved_acc,0.2732095405459404,0.037678644720443036
product_acc,0.326892951130867,0.03079021339273175
time:timestamp_mae,0.02660878826864064,0.010139888943809839
AVG_total_loss,20.5947488327045,0.43514192429341864
MAE_time:timestamp,0.023337543569505216,0.00930913864604038
