,mean,std
Activity_acc,0.517248910665512,0.012413230378338604
org:resource_acc,0.08689655177295208,0.02150514395325545
impact_acc,1.0,0.0
concept:name_acc,0.5572052538394928,0.0038235495131718807
lifecycle:transition_acc,0.5133187890052795,0.01542013145658497
org:group_acc,0.9195175349712372,0.011743783255115268
org:role_acc,0.7198782861232758,0.010794848598195728
organization country_acc,0.9665938973426819,0.015880434652302877
organization involved_acc,0.20442477688193322,0.05687748563750727
product_acc,0.40131005346775056,0.04964868876639904
time:timestamp_mae,0.03214115872979164,0.007863745371272086
AVG_total_loss,20.045166942710058,0.6607328185488252
MAE_time:timestamp,0.032753849402070045,0.00814843240240223
