,mean,std
Activity_acc,0.6951923370361328,0.01968611868573102
org:resource_acc,0.12555282413959504,0.03252268556101326
impact_acc,0.9995192348957062,0.0015203127490968783
concept:name_acc,0.7367788791656494,0.012426323098651552
lifecycle:transition_acc,0.6983173310756683,0.012322561148396853
org:group_acc,0.944711583852768,0.014904703696558344
org:role_acc,0.7315789520740509,0.03969237877364894
organization country_acc,0.9574519634246826,0.01464615067676865
organization involved_acc,0.33665048629045485,0.08972962496415172
product_acc,0.37403847426176073,0.06989274755271946
resource country_acc,0.8625000298023224,0.013493929063030546
AVG_total_loss,18.70062838034937,0.6968335758511838
