,mean,std
Activity_acc,0.6642011880874634,0.05889564756651353
org:resource_acc,0.1274096339941025,0.03348209050038436
impact_acc,1.0,0.0
concept:name_acc,0.8156804859638214,0.04572896866882984
lifecycle:transition_acc,0.6825443923473358,0.03555906727358483
org:group_acc,0.9355029702186585,0.012142604227133138
org:role_acc,0.7347149968147277,0.04347394300996943
organization country_acc,0.967159777879715,0.009402521047797712
organization involved_acc,0.32789316922426226,0.08763901933214886
product_acc,0.3837278187274933,0.07453494991751802
resource country_acc,0.8494082927703858,0.013264207363880688
AVG_total_loss,19.48043364272744,0.4171403555279546
