,mean,std
Activity_acc,0.6302872121334075,0.025320240234096632
org:resource_acc,0.10054945275187492,0.03399891121131638
impact_acc,0.9394256055355072,0.015013993345755188
concept:name_acc,0.7362924456596375,0.01600067711897283
lifecycle:transition_acc,0.6396866977214813,0.01552005948942951
org:group_acc,0.8587467610836029,0.03614614206401514
org:role_acc,0.6491606831550598,0.042208191034623636
organization country_acc,0.9091383993625641,0.01945320294092855
organization involved_acc,0.2530503958463669,0.07323389244898063
product_acc,0.32663185745477674,0.06756580574334098
resource country_acc,0.8049608588218689,0.027769964032514787
AVG_total_loss,21.526107239723206,0.6826843294483489
