,mean,std
Activity_acc,0.6565502285957336,0.05732612535927055
org:resource_acc,0.11816091984510421,0.032676400366103114
impact_acc,0.9973799169063569,0.005426889646321836
concept:name_acc,0.759825336933136,0.03396582421772191
lifecycle:transition_acc,0.6768558979034424,0.031287028005618354
org:group_acc,0.9471491277217865,0.015487764047243136
org:role_acc,0.7093306124210358,0.04899092213304024
organization country_acc,0.951965081691742,0.013615930848380127
organization involved_acc,0.3146017611026764,0.08477169444793765
product_acc,0.3659388706088066,0.07142256399470874
resource country_acc,0.8294759869575501,0.01612537284327835
AVG_total_loss,19.179273149208164,0.6244829363434686
